luna	date	run	trial	xdat	lat	Count
10152	20081004	1	31	147	NA	-1
10152	20081004	1	32	150	461	1
10152	20081004	1	33	148	377	1
10152	20081004	1	34	130	509	1
10152	20081004	1	35	128	396	1
10152	20081004	1	36	204	NA	-1
10152	20081004	1	37	202	493	1
10152	20081004	1	38	127	381	1
10152	20081004	1	39	202	NA	-1
10152	20081004	1	40	129	NA	-1
10152	20081004	1	41	148	409	1
10152	20081004	1	42	149	553	1
10152	20081004	2	1	127	357	1
10152	20081004	2	2	147	461	1
10152	20081004	2	3	127	457	1
10152	20081004	2	4	204	490	1
10152	20081004	2	5	150	397	2
10152	20081004	2	6	129	105	1
10152	20081004	2	7	150	622	1
10152	20081004	2	8	147	570	1
10152	20081004	2	9	203	453	1
10152	20081004	2	10	149	666	1
10152	20081004	2	11	130	477	1
10152	20081004	2	12	127	253	1
10152	20081004	2	13	201	NA	-1
10152	20081004	2	14	202	741	1
10152	20081004	2	15	203	558	1
10152	20081004	2	16	148	437	1
10152	20081004	2	17	148	401	2
10152	20081004	2	18	204	NA	-1
10152	20081004	2	19	148	465	1
10152	20081004	2	20	127	NA	-1
10152	20081004	2	21	129	NA	-1
10152	20081004	2	22	128	465	1
10152	20081004	2	23	130	433	1
10152	20081004	2	24	204	488	1
10152	20081004	2	25	149	497	1
10152	20081004	2	26	149	513	1
10152	20081004	2	27	204	441	1
10152	20081004	2	28	128	635	1
10152	20081004	2	29	130	449	1
10152	20081004	2	30	150	505	1
10152	20081004	2	31	201	457	1
10152	20081004	2	32	201	614	1
10152	20081004	2	33	147	NA	-1
10152	20081004	2	34	129	413	1
10152	20081004	2	35	202	NA	-1
10152	20081004	2	36	202	421	1
10152	20081004	2	37	130	NA	-1
10152	20081004	2	38	147	414	1
10152	20081004	2	39	128	NA	-1
10152	20081004	2	40	203	NA	-1
10152	20081004	2	41	150	NA	-1
10152	20081004	2	42	201	477	1
10152	20081004	3	1	147	481	1
10152	20081004	3	2	127	NA	-1
10152	20081004	3	3	129	NA	-1
10152	20081004	3	4	147	545	1
10152	20081004	3	5	202	109	2
10152	20081004	3	6	129	397	1
10152	20081004	3	7	127	NA	-1
10152	20081004	3	8	204	NA	-1
10152	20081004	3	9	201	506	1
10152	20081004	3	10	150	NA	-1
10152	20081004	3	11	203	NA	-1
10152	20081004	3	12	201	449	1
10152	20081004	3	13	128	501	1
10152	20081004	3	14	147	NA	-1
10152	20081004	3	15	149	NA	-1
10152	20081004	3	16	202	NA	-1
10152	20081004	3	17	128	NA	-1
10152	20081004	3	18	202	NA	-1
10152	20081004	3	19	150	89	1
10152	20081004	3	20	128	529	1
10152	20081004	3	21	129	NA	-1
10152	20081004	3	22	148	NA	-1
10152	20081004	3	23	148	481	1
10152	20081004	3	24	130	NA	-1
10152	20081004	3	25	204	464	1
10152	20081004	3	26	147	121	1
10152	20081004	3	27	203	NA	-1
10152	20081004	3	28	130	NA	-1
10152	20081004	3	29	149	557	1
10152	20081004	3	30	203	NA	-1
10152	20081004	3	31	130	NA	-1
10152	20081004	3	32	149	NA	-1
10152	20081004	3	33	127	NA	-1
10152	20081004	3	34	150	81	1
10152	20081004	3	35	204	NA	-1
10152	20081004	3	36	148	NA	-1
10152	20081004	3	37	127	NA	-1
10152	20081004	3	38	204	NA	-1
10152	20081004	3	39	130	NA	-1
10152	20081004	3	40	150	353	1
10152	20081004	3	41	201	449	1
10152	20081004	3	42	201	NA	-1
10152	20081004	4	1	147	389	1
10152	20081004	4	2	130	453	1
10152	20081004	4	3	202	417	1
10152	20081004	4	4	149	493	1
10152	20081004	4	5	201	NA	-1
10152	20081004	4	6	202	NA	-1
10152	20081004	4	7	129	NA	-1
10152	20081004	4	8	129	97	2
10152	20081004	4	9	150	NA	-1
10152	20081004	4	10	149	NA	-1
10152	20081004	4	11	130	NA	-1
10152	20081004	4	12	127	NA	-1
10152	20081004	4	13	203	NA	-1
10152	20081004	4	14	204	NA	-1
10152	20081004	4	15	129	NA	-1
10152	20081004	4	16	150	121	2
10152	20081004	4	17	128	NA	-1
10152	20081004	4	18	204	NA	-1
10152	20081004	4	19	203	NA	-1
10152	20081004	4	20	148	NA	-1
10152	20081004	4	21	149	NA	-1
10152	20081004	4	22	201	NA	-1
10152	20081004	4	23	203	NA	-1
10152	20081004	4	24	127	NA	-1
10152	20081004	4	25	150	NA	-1
10152	20081004	4	26	147	NA	-1
10152	20081004	4	27	148	NA	-1
10152	20081004	4	28	128	NA	-1
10152	20081004	4	29	127	NA	-1
10152	20081004	4	30	127	NA	-1
10152	20081004	4	31	147	145	1
10152	20081004	4	32	204	NA	-1
10152	20081004	4	33	148	NA	-1
10152	20081004	4	34	201	409	1
10152	20081004	4	35	204	569	1
10152	20081004	4	36	130	NA	-1
10152	20081004	4	37	128	NA	-1
10152	20081004	4	38	202	389	1
10152	20081004	4	39	147	NA	-1
10152	20081004	4	40	150	NA	-1
10152	20081004	4	41	201	NA	-1
10152	20081004	4	42	130	NA	-1
10152	20100514	1	1	201	405	1
10152	20100514	1	2	149	469	1
10152	20100514	1	3	129	381	1
10152	20100514	1	4	203	NA	-1
10152	20100514	1	5	201	377	1
10152	20100514	1	6	130	393	1
10152	20100514	1	7	201	405	1
10152	20100514	1	8	149	393	1
10152	20100514	1	9	147	337	1
10152	20100514	1	10	202	401	1
10152	20100514	1	11	128	369	1
10152	20100514	1	12	129	405	1
10152	20100514	1	13	127	441	1
10152	20100514	1	14	150	373	1
10152	20100514	1	15	130	341	1
10152	20100514	1	16	201	377	1
10152	20100514	1	17	150	369	1
10152	20100514	1	18	128	401	1
10152	20100514	1	19	204	425	1
10152	20100514	1	20	150	385	1
10152	20100514	1	21	203	377	1
10152	20100514	1	22	130	361	1
10152	20100514	1	23	203	345	1
10152	20100514	1	24	204	NA	-1
10152	20100514	1	25	148	393	1
10152	20100514	1	26	147	385	1
10152	20100514	1	27	127	361	1
10152	20100514	1	28	147	361	1
10152	20100514	1	29	127	417	1
10152	20100514	1	30	204	441	1
10152	20100514	1	31	147	437	1
10152	20100514	1	32	150	349	1
10152	20100514	1	33	148	437	1
10152	20100514	1	34	130	NA	-1
10152	20100514	1	35	128	365	1
10152	20100514	1	36	204	453	1
10152	20100514	1	37	202	441	1
10152	20100514	1	38	127	393	1
10152	20100514	1	39	202	561	1
10152	20100514	1	40	129	397	1
10152	20100514	1	41	148	381	1
10152	20100514	1	42	149	NA	-1
10152	20100514	2	1	127	381	1
10152	20100514	2	2	147	357	1
10152	20100514	2	3	127	385	1
10152	20100514	2	4	204	421	1
10152	20100514	2	5	150	153	1
10152	20100514	2	6	129	361	1
10152	20100514	2	7	150	NA	-1
10152	20100514	2	8	147	NA	-1
10152	20100514	2	9	203	357	2
10152	20100514	2	10	149	393	1
10152	20100514	2	11	130	NA	-1
10152	20100514	2	12	127	405	1
10152	20100514	2	13	201	365	1
10152	20100514	2	14	202	385	1
10152	20100514	2	15	203	409	1
10152	20100514	2	16	148	401	1
10152	20100514	2	17	148	421	1
10152	20100514	2	18	204	401	1
10152	20100514	2	19	148	345	1
10152	20100514	2	20	127	930	1
10152	20100514	2	21	129	377	1
10152	20100514	2	22	128	529	1
10152	20100514	2	23	130	NA	-1
10152	20100514	2	24	204	465	1
10152	20100514	2	25	149	337	1
10152	20100514	2	26	149	357	1
10152	20100514	2	27	204	381	1
10152	20100514	2	28	128	381	1
10152	20100514	2	29	130	381	1
10152	20100514	2	30	150	373	1
10152	20100514	2	31	201	453	1
10152	20100514	2	32	201	405	1
10152	20100514	2	33	147	345	1
10152	20100514	2	34	129	376	1
10152	20100514	2	35	202	385	1
10152	20100514	2	36	202	377	1
10152	20100514	2	37	130	409	1
10152	20100514	2	38	147	397	1
10152	20100514	2	39	128	393	1
10152	20100514	2	40	203	429	1
10152	20100514	2	41	150	357	1
10152	20100514	2	42	201	384	1
10152	20100514	3	1	147	381	1
10152	20100514	3	2	127	429	1
10152	20100514	3	3	129	441	1
10152	20100514	3	4	147	369	1
10152	20100514	3	5	202	NA	-1
10152	20100514	3	6	129	417	1
10152	20100514	3	7	127	409	1
10152	20100514	3	8	204	385	2
10152	20100514	3	9	201	409	1
10152	20100514	3	10	150	333	1
10152	20100514	3	11	203	357	1
10152	20100514	3	12	201	409	1
10152	20100514	3	13	128	417	1
10152	20100514	3	14	147	417	1
10152	20100514	3	15	149	NA	-1
10152	20100514	3	16	202	405	1
10152	20100514	3	17	128	381	1
10152	20100514	3	18	202	365	1
10152	20100514	3	19	150	353	1
10152	20100514	3	20	128	389	1
10152	20100514	3	21	129	361	1
10152	20100514	3	22	148	409	1
10152	20100514	3	23	148	505	1
10152	20100514	3	24	130	369	1
10152	20100514	3	25	204	405	1
10152	20100514	3	26	147	469	1
10152	20100514	3	27	203	417	1
10152	20100514	3	28	130	369	1
10152	20100514	3	29	149	393	1
10152	20100514	3	30	203	389	1
10152	20100514	3	31	130	417	1
10152	20100514	3	32	149	369	1
10152	20100514	3	33	127	446	1
10152	20100514	3	34	150	373	1
10152	20100514	3	35	204	373	1
10152	20100514	3	36	148	445	1
10152	20100514	3	37	127	497	1
10152	20100514	3	38	204	421	1
10152	20100514	3	39	130	389	1
10152	20100514	3	40	150	437	1
10152	20100514	3	41	201	513	1
10152	20100514	3	42	201	NA	-1
10152	20100514	4	1	147	353	1
10152	20100514	4	2	130	337	1
10152	20100514	4	3	202	373	1
10152	20100514	4	4	149	349	1
10152	20100514	4	5	201	397	1
10152	20100514	4	6	202	381	1
10152	20100514	4	7	129	NA	-1
10152	20100514	4	8	129	NA	-1
10152	20100514	4	9	150	525	1
10152	20100514	4	10	149	NA	-1
10152	20100514	4	11	130	365	1
10152	20100514	4	12	127	401	1
