luna	date	ncor	n	acc	ndropped	meanlat
10782	20100323	134	168	0.797619047619048	26	391.514925373134
10783	20100330	131	168	0.779761904761905	24	580.106870229008
10784	20100331	123	168	0.732142857142857	42	328.341463414634
10786	20100319	144	168	0.857142857142857	20	358.159722222222
10786	20111201	160	168	0.952380952380952	5	343.75
10786	20131209	135	168	0.803571428571429	29	350.525925925926
10787	20100519	138	168	0.821428571428571	14	470.557971014493
10788	20100326	159	168	0.946428571428571	4	371.899371069182
10788	20111217	156	168	0.928571428571429	6	381.775641025641
10790	20100409	107	168	0.636904761904762	19	452.523364485981
10790	20131014	115	168	0.68452380952381	10	454.6
10796	20100520	158	168	0.94047619047619	8	414.873417721519
10796	20120220	157	168	0.93452380952381	10	397.229299363057
10796	20130325	89	168	0.529761904761905	77	342.966292134831
10797	20100405	151	168	0.898809523809524	9	432.258278145695
10797	20111128	166	168	0.988095238095238	1	399.512048192771
10797	20130524	153	168	0.910714285714286	11	424.40522875817
10798	20100518	104	168	0.619047619047619	14	410.855769230769
10798	20111215	104	168	0.619047619047619	11	408.173076923077
10798	20131007	141	168	0.839285714285714	13	387.177304964539
10800	20100424	142	168	0.845238095238095	12	426.816901408451
10801	20100426	124	168	0.738095238095238	41	433.233870967742
10802	20100326	127	168	0.755952380952381	38	376.968503937008
10802	20130528	133	168	0.791666666666667	26	437.022556390977
10803	20100414	157	168	0.93452380952381	3	438.547770700637
10804	20100525	116	168	0.69047619047619	12	619.387931034483
10804	20111203	76	168	0.452380952380952	34	472.907894736842
10805	20100412	155	168	0.922619047619048	10	401.574193548387
10805	20111103	142	168	0.845238095238095	26	357.929577464789
10805	20130508	151	168	0.898809523809524	13	372.834437086093
10806	20100421	112	168	0.666666666666667	22	533.455357142857
10806	20111230	142	168	0.845238095238095	5	457.507042253521
10807	20100412	114	168	0.678571428571429	35	466.210526315789
10808	20100501	154	168	0.916666666666667	7	450.954545454545
10808	20120629	157	168	0.93452380952381	9	428.573248407643
10808	20130709	151	168	0.898809523809524	13	404.344370860927
10809	20100607	103	168	0.613095238095238	31	413.359223300971
10809	20120405	108	168	0.642857142857143	50	446.611111111111
10809	20131111	136	168	0.80952380952381	17	467.441176470588
10811	20100410	98	168	0.583333333333333	36	472.632653061225
10811	20111116	113	168	0.672619047619048	16	474.663716814159
10811	20140417	132	168	0.785714285714286	25	410.575757575758
10812	20100508	150	168	0.892857142857143	10	500.826666666667
10812	20111206	155	168	0.922619047619048	8	427.793548387097
10812	20140109	153	168	0.910714285714286	9	437.588235294118
10813	20100422	100	168	0.595238095238095	50	455.8
10813	20120106	143	168	0.851190476190476	8	425.951048951049
10814	20100524	130	168	0.773809523809524	27	410.761538461538
10814	20120208	63	84	0.75	20	418.52380952381
10814	20130731	132	168	0.785714285714286	34	419.113636363636
10817	20100515	127	168	0.755952380952381	17	423.181102362205
10817	20111220	97	168	0.577380952380952	64	361.144329896907
10818	20100626	145	168	0.863095238095238	10	405.234482758621
10818	20120714	95	168	0.56547619047619	54	384.052631578947
10820	20100622	58	168	0.345238095238095	40	470.258620689655
10820	20121025	81	168	0.482142857142857	61	460.617283950617
10821	20100625	91	168	0.541666666666667	62	733
10821	20120321	112	168	0.666666666666667	21	545.053571428571
10821	20140529	106	168	0.630952380952381	42	543.481132075472
10822	20100622	90	126	0.714285714285714	7	472.7
10822	20120229	109	168	0.648809523809524	35	408.54128440367
10822	20130812	103	168	0.613095238095238	52	386
10823	20100723	60	107	0.560747663551402	19	495.45
10824	20100723	114	168	0.678571428571429	19	446.701754385965
10824	20111108	157	168	0.93452380952381	3	361.082802547771
10824	20131002	138	168	0.821428571428571	12	388.81884057971
10826	20100726	112	168	0.666666666666667	48	485.1875
10826	20120911	106	168	0.630952380952381	39	414.981132075472
10826	20140414	112	168	0.666666666666667	37	450.473214285714
10827	20100726	87	168	0.517857142857143	45	467.67816091954
10836	20100722	127	168	0.755952380952381	33	354.346456692913
10839	20100821	161	168	0.958333333333333	5	543.211180124224
10839	20120213	137	168	0.81547619047619	14	419.985401459854
10839	20130916	128	168	0.761904761904762	25	423.0703125
10840	20100821	150	168	0.892857142857143	12	428.22
10840	20120207	146	168	0.869047619047619	21	381.684931506849
10841	20100820	129	168	0.767857142857143	23	386.542635658915
10841	20120618	150	168	0.892857142857143	11	423.273333333333
10842	20100823	145	168	0.863095238095238	10	517.172413793103
10843	20100816	113	168	0.672619047619048	31	546.203539823009
10843	20120406	135	168	0.803571428571429	10	603.266666666667
10845	20100924	81	168	0.482142857142857	42	392.765432098765
10845	20120809	110	168	0.654761904761905	21	376.881818181818
10847	20101016	125	168	0.744047619047619	7	505.312
10847	20120616	86	168	0.511904761904762	34	485.953488372093
10847	20131005	43	159	0.270440251572327	82	462.581395348837
10849	20101115	151	168	0.898809523809524	5	471.417218543046
10849	20120813	123	168	0.732142857142857	14	491.243902439024
10849	20140102	103	168	0.613095238095238	49	531.029126213592
10850	20101115	132	168	0.785714285714286	20	520.378787878788
10850	20121214	52	168	0.30952380952381	109	487.423076923077
10850	20140204	144	168	0.857142857142857	22	456.868055555556
10851	20101207	71	96	0.739583333333333	6	540.549295774648
