luna	date	rtype	ncor	n	acc	ndropped	meanlat
10466	20130923	pun	52	56	0.928571428571429	4	419.769230769231
10466	20130923	neut	54	56	0.964285714285714	2	391.425925925926
10466	20130923	rew	50	56	0.892857142857143	4	394.58
10483	20081029	pun	21	56	0.375	28	447.809523809524
10483	20081029	neut	27	56	0.482142857142857	22	459.037037037037
10483	20081029	rew	28	56	0.5	20	471.857142857143
10529	20081105	pun	49	56	0.875	5	406.571428571429
10529	20081105	neut	48	56	0.857142857142857	5	407.583333333333
10529	20081105	rew	42	56	0.75	3	412.380952380952
10558	20080923	pun	18	56	0.321428571428571	35	341.444444444444
10558	20080923	neut	15	56	0.267857142857143	37	364.533333333333
10558	20080923	rew	18	56	0.321428571428571	32	350.666666666667
10565	20081028	pun	44	56	0.785714285714286	6	450.363636363636
10565	20081028	neut	45	56	0.803571428571429	6	443.933333333333
10565	20081028	rew	32	56	0.571428571428571	8	464.46875
10565	20100624	pun	33	56	0.589285714285714	18	444.151515151515
10565	20100624	neut	32	56	0.571428571428571	21	443.3125
10565	20100624	rew	34	56	0.607142857142857	18	431.323529411765
10565	20120107	pun	38	42	0.904761904761905	1	405.684210526316
10565	20120107	neut	35	42	0.833333333333333	2	413.714285714286
10565	20120107	rew	30	42	0.714285714285714	2	407.7
10567	20090114	pun	50	56	0.892857142857143	5	406.8
10567	20090114	neut	43	56	0.767857142857143	9	408.697674418605
10567	20090114	rew	47	56	0.839285714285714	5	430.936170212766
10567	20100810	pun	41	56	0.732142857142857	11	415.560975609756
10567	20100810	neut	41	56	0.732142857142857	7	407.585365853659
10567	20100810	rew	46	56	0.821428571428571	3	399.369565217391
10567	20130503	pun	35	56	0.625	18	406.657142857143
10567	20130503	neut	32	56	0.571428571428571	17	391.21875
10567	20130503	rew	34	56	0.607142857142857	20	410.058823529412
10568	20090112	pun	53	56	0.946428571428571	3	417.415094339623
10568	20090112	neut	47	56	0.839285714285714	7	423.765957446808
10568	20090112	rew	47	56	0.839285714285714	8	446.510638297872
10568	20100619	pun	49	56	0.875	5	409.448979591837
10568	20100619	neut	46	56	0.821428571428571	10	425.891304347826
10568	20100619	rew	42	56	0.75	13	423.333333333333
10568	20120110	pun	51	56	0.910714285714286	5	383.196078431373
10568	20120110	neut	48	56	0.857142857142857	8	406.645833333333
10568	20120110	rew	51	56	0.910714285714286	5	400.156862745098
10572	20090303	pun	46	56	0.821428571428571	8	372.913043478261
10572	20090303	neut	51	56	0.910714285714286	5	362.21568627451
10572	20090303	rew	46	56	0.821428571428571	8	361.5
10572	20110112	pun	52	56	0.928571428571429	4	338.846153846154
10572	20110112	neut	48	56	0.857142857142857	8	344.729166666667
10572	20110112	rew	48	56	0.857142857142857	8	343.458333333333
10572	20120514	pun	53	56	0.946428571428571	3	349.377358490566
10572	20120514	neut	54	56	0.964285714285714	2	347.777777777778
10572	20120514	rew	56	56	1	0	345.857142857143
10574	20080930	pun	50	56	0.892857142857143	6	317.48
10574	20080930	neut	43	56	0.767857142857143	13	321.53488372093
10574	20080930	rew	51	56	0.910714285714286	5	334.745098039216
10584	20080729	pun	52	56	0.928571428571429	3	429.730769230769
10584	20080729	neut	52	56	0.928571428571429	1	440.730769230769
10584	20080729	rew	50	56	0.892857142857143	4	431.24
10585	20080918	pun	37	56	0.660714285714286	3	384.837837837838
10585	20080918	neut	28	56	0.5	8	383.285714285714
10585	20080918	rew	35	56	0.625	6	384.114285714286
10585	20100415	pun	38	56	0.678571428571429	10	362.868421052632
10585	20100415	neut	36	56	0.642857142857143	9	372.805555555556
10585	20100415	rew	40	56	0.714285714285714	9	374.475
10585	20120822	neut	43	56	0.767857142857143	4	396.906976744186
10585	20120822	rew	24	28	0.857142857142857	2	377.375
10587	20080812	pun	56	56	1	0	397.428571428571
10587	20080812	neut	56	56	1	0	397.982142857143
10587	20080812	rew	56	56	1	0	389.821428571429
10589	20081101	pun	46	56	0.821428571428571	3	515.565217391304
10589	20081101	neut	45	56	0.803571428571429	1	535.444444444444
10589	20081101	rew	42	56	0.75	4	536.52380952381
10589	20100525	pun	43	56	0.767857142857143	10	475.674418604651
10589	20100525	neut	45	56	0.803571428571429	7	456.666666666667
10589	20100525	rew	42	56	0.75	8	469.309523809524
10589	20111121	pun	37	56	0.660714285714286	17	434.783783783784
10589	20111121	neut	43	56	0.767857142857143	13	419.302325581395
10589	20111121	rew	31	56	0.553571428571429	23	437.709677419355
10594	20080912	pun	46	56	0.821428571428571	9	361.521739130435
10594	20080912	neut	43	56	0.767857142857143	11	358.023255813953
10594	20080912	rew	46	56	0.821428571428571	8	345.173913043478
10599	20090124	pun	48	56	0.857142857142857	6	400.645833333333
10599	20090124	neut	48	56	0.857142857142857	8	389.416666666667
10599	20090124	rew	48	56	0.857142857142857	8	412.708333333333
10599	20100726	pun	44	56	0.785714285714286	9	379.727272727273
10599	20100726	neut	45	56	0.803571428571429	10	363.222222222222
10599	20100726	rew	44	56	0.785714285714286	12	396
10601	20080821	pun	46	56	0.821428571428571	8	528.695652173913
10601	20080821	neut	48	56	0.857142857142857	6	560.8125
10601	20080821	rew	42	56	0.75	10	582.666666666667
10604	20080913	pun	29	43	0.674418604651163	14	381.758620689655
10604	20080913	neut	29	43	0.674418604651163	13	392.413793103448
10604	20080913	rew	31	42	0.738095238095238	11	398.387096774194
10604	20100313	pun	46	56	0.821428571428571	10	383.217391304348
10604	20100313	neut	42	56	0.75	14	384.404761904762
10604	20100313	rew	39	56	0.696428571428571	17	382.410256410256
10604	20120121	pun	19	56	0.339285714285714	37	351.789473684211
10604	20120121	neut	30	56	0.535714285714286	26	380.1
10604	20120121	rew	24	56	0.428571428571429	30	387.708333333333
10605	20080925	pun	48	56	0.857142857142857	5	375.041666666667
10605	20080925	neut	44	56	0.785714285714286	6	387.954545454545
10605	20080925	rew	47	56	0.839285714285714	4	379.765957446808
10606	20080923	pun	42	56	0.75	8	390.357142857143
10606	20080923	neut	49	56	0.875	4	408.142857142857
10606	20080923	rew	42	56	0.75	4	398.785714285714
10607	20080930	pun	53	56	0.946428571428571	1	388.283018867925
10607	20080930	neut	56	56	1	0	400.553571428571
10607	20080930	rew	51	56	0.910714285714286	1	394.039215686275
10608	20081006	pun	47	56	0.839285714285714	5	378.659574468085
10608	20081006	neut	45	56	0.803571428571429	4	379.133333333333
10608	20081006	rew	48	56	0.857142857142857	3	367.5625
10608	20100615	pun	52	56	0.928571428571429	2	358.192307692308
10608	20100615	neut	53	56	0.946428571428571	1	370.77358490566
10608	20100615	rew	53	56	0.946428571428571	2	366.301886792453
10608	20111122	pun	56	56	1	0	352.035714285714
10608	20111122	neut	56	56	1	0	343.839285714286
10608	20111122	rew	55	56	0.982142857142857	0	350.327272727273
10616	20081122	pun	45	56	0.803571428571429	10	366.177777777778
10616	20081122	neut	43	56	0.767857142857143	9	358.53488372093
10616	20081122	rew	44	56	0.785714285714286	10	356.909090909091
10616	20100624	pun	33	56	0.589285714285714	23	355.424242424242
10616	20100624	neut	34	56	0.607142857142857	20	393.294117647059
10616	20100624	rew	35	56	0.625	21	349.342857142857
10616	20120130	pun	52	56	0.928571428571429	4	377.923076923077
10616	20120130	neut	42	56	0.75	9	363.52380952381
10616	20120130	rew	44	56	0.785714285714286	10	369.204545454545
10623	20090113	pun	40	56	0.714285714285714	16	373.9
10623	20090113	neut	38	56	0.678571428571429	16	366.710526315789
10623	20090113	rew	38	56	0.678571428571429	16	357.894736842105
10623	20120111	pun	45	56	0.803571428571429	10	404.955555555556
